key                , kind          , selectorSchema                                                                                                                                          , gas , unit         , emissionScope, rawNameExamples                                                                                     , notes
ef-electricity     , emissionFactor, "{""selectors"":[]}"                                                                                                                                    , CO2e, kg/kWh       , scope2       , electricity                                                                                 , "Country-specific yearly electricity emission factor family"
ef-liquid-fuel     , emissionFactor, "{""selectors"":[{""key"":""fuel"",""type"":""string"",""required"":true}]}"                                                                            , CO2e, kg/L         , scope1       , "petrol; diesel"                                                                            , "Liquid fuel emission factor family"
ef-gas-fuel        , emissionFactor, "{""selectors"":[{""key"":""fuel"",""type"":""string"",""required"":true}]}"                                                                            , CO2e, kg/Nm3       , scope1       , naturalGas                                                                                  , "Gas fuel emission factor family"
gwp                , constant      , "{""selectors"":[{""key"":""gas"",""type"":""string"",""required"":true}]}"                                                                             , CO2e, kg/kg        ,              , "GWP_CH4; GWP_N2O"                                                                          , "Family gas is accounting basis; selector gas identifies the input gas"
composting-ef-ch4  , emissionFactor, "{""selectors"":[{""key"":""wasteType"",""type"":""string"",""required"":true}]}"                                                                       , CH4 , g/kg         ,              , composting_CH4_greenWaste                                                                   , "Direct CH4 composting factor family"
composting-ef-n2o  , emissionFactor, "{""selectors"":[{""key"":""wasteType"",""type"":""string"",""required"":true}]}"                                                                       , N2O , g/kg         ,              , composting_N2O_greenWaste                                                                   , "Direct N2O composting factor family"
treeBiomass        , constant      , "{""selectors"":[{""key"":""species"",""type"":""string"",""required"":false},{""key"":""treeCategory"",""type"":""string"",""required"":true},{""key"":""treeStage"",""type"":""string"",""required"":true}]}"  ,     , kg/wood/year ,              , "tree_olive_young_biomass; tree_olive_adult_biomass; tree_olive_senescent_biomass"          , "Annual biomass growth family. Resolver should try species first, then fall back to treeCategory when no species-specific value exists."
rootToShoot        , constant      , "{""selectors"":[{""key"":""species"",""type"":""string"",""required"":false},{""key"":""treeCategory"",""type"":""string"",""required"":true}]}"      ,     , %            ,              , "tree_broadleaf_rootToShoot; tree_olive_rootToShoot"                                        , "Root-to-shoot ratio family. Resolver should try species first, then fall back to treeCategory such as broadleaf or conifer."
dryMatterCarbonFrac, constant      , "{""selectors"":[]}"                                                                                                                                    ,     , %            ,              , dryMatter_carbonFrac                                                                        , "Dry matter carbon fraction family"
ef-manure-ch4      , emissionFactor, "{""selectors"":[{""key"":""animal"",""type"":""string"",""required"":true}]}"                                                                          , CH4 , kg/head/year , scope1       , "manure_dairyCattle_CH4; manure_otherCattle_CH4; manure_sheep_CH4"                          , "Direct emissions plus manure management CH4 factor family"
ef-manure-n2o      , emissionFactor, "{""selectors"":[{""key"":""animal"",""type"":""string"",""required"":true}]}"                                                                          , N2O , kg/head/year , scope1       , "NE_dairyCattle_N2O; NE_otherCattle_N2O; NE_sheep_N2O"                                      , "Nitrogen-emission-related N2O factor family represented by the raw `NE_*_N2O` rows."
excretionRate      , constant      , "{""selectors"":[{""key"":""animal"",""type"":""string"",""required"":true}]}"                                                                          , N2O , kg/head/year , scope1       , "ExcRate_dairyCattle_N2O; ExcRate_otherCattle_N2O; ExcRate_sheep_N2O"                       , "Naming and unit come directly from the raw sample; may need refinement when formulas are formalized"
confinedTimeShare  , constant      , "{""selectors"":[{""key"":""animal"",""type"":""string"",""required"":true}]}"                                                                          ,     , %            ,              , "confinedTimeShare_dairyCattle; confinedTimeShare_otherCattle; confinedTimeShare_sheep"     , "Share-of-time family used by livestock calculations"
ef-lto             , emissionFactor, "{""selectors"":[{""key"":""aircraft"",""type"":""string"",""required"":true}]}"                                                                        , CO2e, kg/LTO       ,              , "A300_LTO; A310_LTO; A319_LTO"                                                              , "Aircraft LTO emission factor family"
ef-fuel-mass       , emissionFactor, "{""selectors"":[{""key"":""fuel"",""type"":""string"",""required"":true}]}"                                                                            , CO2e, kg/kg        , scope1       , GPL                                                                                         , "Mass-based fuel emission factor family"
lhv-fuel-mass      , constant      , "{""selectors"":[{""key"":""fuel"",""type"":""string"",""required"":true}]}"                                                                            ,     , tep/t        ,              , LHV_GPL                                                                                     , "Mass-based lower heating value family"
lhv-fuel-volume    , constant      , "{""selectors"":[{""key"":""fuel"",""type"":""string"",""required"":true}]}"                                                                            ,     , tep/km3      ,              , LHV_naturalGas                                                                              , "Volume-based lower heating value family"
fe1                , emissionFactor, "{""selectors"":[{""key"":""nitrogenSource"",""type"":""string"",""required"":true}]}"                                                                  ,     , kg/kg        ,              , "FE1 syntheticFertilizer; FE1 organicAmendment; FE1 cropResidue"                           , "Direct N2O-N emission factor family by nitrogen input source"
fe3ppp             , emissionFactor, "{""selectors"":[{""key"":""livestockGroup"",""type"":""string"",""required"":true}]}"                                                                  ,     , kg/kg        ,              , "FE3PPP cattlePoultrySwine; FE3PPP sheepOtherAnimals"                                      , "Pasture-range-paddock N2O-N emission factor family by livestock group"
fe4                , emissionFactor, "{""selectors"":[]}"                                                                                                                                    ,     , kg/kg        ,              , FE4                                                                                         , "Atmospheric redeposition emission factor family"
fe5                , emissionFactor, "{""selectors"":[]}"                                                                                                                                    ,     , kg/kg        ,              , FE5                                                                                         , "Leaching/runoff emission factor family"
frac               , constant      , "{""selectors"":[{""key"":""factor"",""type"":""string"",""required"":true}]}"                                                                          ,     , %            ,              , "FracGASF; FracGASM; FracLEACH-(H)"                                                        , "IPCC fraction family; selector factor keeps the exact technical code"
treeAbsorption     , absorptionFactor, "{""selectors"":[{""key"":""speciesGroup"",""type"":""string"",""required"":true}]}"                                                                  , CO2e, kg/tree/year ,              , tree_fruitTree_absorbtion                                                                   , "Tree absorption factor family for grouped tree sets such as fruit trees"
fertilizerNShare   , constant      , "{""selectors"":[{""key"":""fertilizer"",""type"":""string"",""required"":true}]}"                                                                      ,     , %            ,              , "ammonitrate tenure; dap tenure; Urea tenure"                                              , "Synthetic fertilizer nutrient share family"
